index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW)
786,6/2/2018,Northern,614.11,636.43,30.36,26.60,109.45,93.64
787,6/2/2018,Western,1149.12,1247.96,25.14,26.13,40.94,23.41
788,6/2/2018,Southern,643.74,587.07,45.43,71.13,82.80,51.80
789,6/2/2018,Eastern,488.00,489.71,,,25.10,19.32
790,6/2/2018,NorthEastern,31.93,34.55,,,10.24,7.25
791,7/2/2018,Northern,614.11,632.69,30.36,26.62,109.45,95.60
792,7/2/2018,Western,1149.12,1240.16,25.14,26.13,40.94,24.66
793,7/2/2018,Southern,643.74,604.75,45.43,71.10,82.80,62.78
794,7/2/2018,Eastern,488.00,504.10,,,25.10,23.18
795,7/2/2018,NorthEastern,31.93,34.50,,,10.24,7.87
796,8/2/2018,Northern,614.11,635.96,30.36,27.79,109.45,92.60
797,8/2/2018,Western,1149.12,1248.73,25.14,26.13,40.94,24.75
798,8/2/2018,Southern,643.74,577.04,45.43,71.03,82.80,50.76
799,8/2/2018,Eastern,488.00,507.01,,,25.10,27.61
800,8/2/2018,NorthEastern,31.93,34.07,,,10.24,8.58
801,9/2/2018,Northern,614.11,651.09,30.36,31.65,109.45,94.27
802,9/2/2018,Western,1167.72,1238.89,25.14,26.13,40.94,21.98
803,9/2/2018,Southern,643.74,592.07,45.43,70.21,82.80,59.29
804,9/2/2018,Eastern,488.00,507.11,,,25.10,27.33
805,9/2/2018,NorthEastern,31.93,34.05,,,10.24,8.15
806,10/2/2018,Northern,614.11,650.88,30.36,31.86,109.45,93.31
807,10/2/2018,Western,1167.72,1222.20,25.14,26.23,40.94,22.34
808,10/2/2018,Southern,643.74,576.32,45.43,70.28,82.80,60.51
809,10/2/2018,Eastern,488.00,513.40,,,25.10,27.15
810,10/2/2018,NorthEastern,31.93,33.51,,,10.24,7.48
811,11/2/2018,Northern,610.71,598.19,30.36,31.92,109.45,91.87
812,11/2/2018,Western,1167.72,1149.44,25.14,26.23,40.94,16.10
813,11/2/2018,Southern,643.74,529.47,45.43,70.30,82.80,33.57
814,11/2/2018,Eastern,488.00,499.29,,,25.10,23.63
815,11/2/2018,NorthEastern,31.93,33.36,,,10.24,7.13
816,12/2/2018,Northern,608.21,555.20,30.36,31.75,109.45,90.08
817,12/2/2018,Western,1167.72,1119.22,25.14,26.23,40.94,22.46
818,12/2/2018,Southern,643.74,582.48,45.43,70.19,82.80,47.12
819,12/2/2018,Eastern,488.00,499.69,,,25.10,22.67
820,12/2/2018,NorthEastern,31.93,33.48,,,10.24,6.98
821,13/2/2018,Northern,608.21,566.09,30.36,31.70,109.45,90.90
822,13/2/2018,Western,1167.72,1137.89,25.14,26.16,40.94,23.13
823,13/2/2018,Southern,643.74,585.93,45.43,70.22,82.80,46.10
824,13/2/2018,Eastern,488.00,500.87,,,25.10,22.31
825,13/2/2018,NorthEastern,31.93,33.36,,,10.24,7.05
826,14/2/2018,Northern,608.21,598.77,30.36,31.83,109.45,94.92
827,14/2/2018,Western,1167.72,1103.20,25.14,26.16,40.94,19.96
828,14/2/2018,Southern,643.74,569.84,45.43,70.10,82.80,40.60
829,14/2/2018,Eastern,488.00,497.47,,,25.10,21.58
830,14/2/2018,NorthEastern,31.93,32.66,,,10.24,5.75
831,15/2/2018,Northern,616.21,607.95,30.36,31.79,109.45,96.66
832,15/2/2018,Western,1166.32,1139.32,25.14,26.16,40.94,25.85
833,15/2/2018,Southern,643.74,574.36,67.00,69.93,82.80,39.46
834,15/2/2018,Eastern,488.00,490.15,,,25.10,22.96
835,15/2/2018,NorthEastern,31.93,32.49,,,10.24,6.73
836,16/2/2018,Northern,616.21,627.46,30.36,31.82,109.45,95.49
837,16/2/2018,Western,1166.32,1187.35,25.14,26.24,40.94,23.92
838,16/2/2018,Southern,643.74,605.11,67.00,70.09,82.80,48.73
839,16/2/2018,Eastern,490.85,496.94,,,25.10,22.43
840,16/2/2018,NorthEastern,31.93,33.20,,,10.24,6.98
841,17/2/2018,Northern,616.21,611.01,30.36,31.66,109.45,96.91
842,17/2/2018,Western,1166.32,1189.54,25.14,25.17,40.94,27.21
843,17/2/2018,Southern,643.74,617.08,67.00,71.04,82.80,47.95
844,17/2/2018,Eastern,490.85,508.87,,,25.10,23.94
845,17/2/2018,NorthEastern,31.93,32.85,,,10.24,7.03
846,18/2/2018,Northern,616.21,582.75,30.36,31.78,109.45,93.96
847,18/2/2018,Western,1166.32,1185.76,25.14,13.09,40.94,24.53
848,18/2/2018,Southern,650.74,580.96,67.00,71.01,82.80,37.39
849,18/2/2018,Eastern,490.85,502.79,,,25.10,21.61
850,18/2/2018,NorthEastern,31.93,32.43,,,10.24,7.16
851,19/2/2018,Northern,626.01,582.78,30.36,31.71,109.45,97.65
852,19/2/2018,Western,1166.32,1194.11,25.14,13.09,40.94,36.51
853,19/2/2018,Southern,650.74,618.36,67.00,57.37,82.80,50.19
854,19/2/2018,Eastern,490.85,504.64,,,25.10,30.21
855,19/2/2018,NorthEastern,31.93,33.01,,,10.24,6.71
856,20/2/2018,Northern,620.85,607.92,30.36,31.50,109.45,97.73
857,20/2/2018,Western,1166.32,1205.79,25.14,13.09,40.94,35.98
858,20/2/2018,Southern,650.74,644.61,67.00,47.57,82.80,58.90
859,20/2/2018,Eastern,490.85,523.94,,,25.10,24.11
860,20/2/2018,NorthEastern,31.93,33.58,,,10.24,6.74
861,21/2/2018,Northern,630.85,608.66,30.36,31.55,109.45,99.28
862,21/2/2018,Western,1166.32,1200.22,25.14,13.09,40.94,35.39
863,21/2/2018,Southern,650.74,650.81,67.00,48.46,82.80,55.93
864,21/2/2018,Eastern,490.85,537.61,,,25.10,23.23
865,21/2/2018,NorthEastern,31.93,33.80,,,10.24,5.75
866,22/2/2018,Northern,633.56,616.84,30.36,31.47,109.45,97.77
867,22/2/2018,Western,1168.03,1213.60,25.14,12.55,40.94,36.89
868,22/2/2018,Southern,650.74,647.79,67.00,48.54,82.80,61.67
869,22/2/2018,Eastern,490.85,545.31,,,25.10,25.22
870,22/2/2018,NorthEastern,31.93,33.77,,,10.24,5.26
871,23/2/2018,Northern,633.56,622.09,30.36,31.44,109.45,98.91
872,23/2/2018,Western,1169.43,1211.49,25.14,12.55,40.94,26.39
873,23/2/2018,Southern,650.74,657.13,67.00,47.59,82.80,58.66
874,23/2/2018,Eastern,490.85,523.90,,,25.10,27.00
875,23/2/2018,NorthEastern,31.93,33.92,,,10.24,5.34
876,24/2/2018,Northern,633.56,592.86,30.36,31.40,109.45,94.15
877,24/2/2018,Western,1169.43,1203.97,25.14,15.68,40.94,27.04
878,24/2/2018,Southern,650.74,632.25,67.00,47.58,82.80,58.96
879,24/2/2018,Eastern,490.85,523.00,,,25.10,28.12
880,24/2/2018,NorthEastern,31.93,33.13,,,10.24,5.28
881,25/2/2018,Northern,632.89,575.09,30.36,31.40,109.45,101.25
882,25/2/2018,Western,1169.43,1155.68,25.14,25.87,40.94,13.91
883,25/2/2018,Southern,650.74,608.12,67.00,47.58,82.80,43.96
884,25/2/2018,Eastern,490.85,532.18,,,25.10,19.05
885,25/2/2018,NorthEastern,31.93,32.55,,,10.24,5.62
886,26/2/2018,Northern,632.25,614.35,30.36,31.52,109.45,106.45
887,26/2/2018,Western,1169.43,1181.85,25.14,26.01,40.94,28.89
888,26/2/2018,Southern,650.74,635.58,67.00,47.59,82.80,63.72
889,26/2/2018,Eastern,490.85,533.87,,,25.10,22.55
890,26/2/2018,NorthEastern,31.93,31.10,,,10.24,5.57
891,27/2/2018,Northern,632.25,635.76,30.36,31.48,109.45,107.40
892,27/2/2018,Western,1169.43,1195.82,25.14,26.13,40.94,32.09
893,27/2/2018,Southern,650.74,638.18,67.00,47.54,82.80,61.85
894,27/2/2018,Eastern,495.35,543.05,,,25.10,28.03
895,27/2/2018,NorthEastern,31.93,30.67,,,10.24,5.81
896,28/2/2018,Northern,634.75,661.54,30.36,31.38,109.45,107.45
897,28/2/2018,Western,1169.43,1194.22,25.14,26.14,40.94,39.93
898,28/2/2018,Southern,650.74,659.82,67.00,48.41,82.80,69.79
899,28/2/2018,Eastern,499.35,543.69,,,25.10,27.92
900,28/2/2018,NorthEastern,31.93,34.11,,,10.24,5.47
901,1/3/2018,Northern,635.26,654.47,30.32,31.39,134.13,105.98
902,1/3/2018,Western,1175.98,1186.85,25.19,25.96,38.10,27.09
903,1/3/2018,Southern,649.52,662.08,62.86,47.69,88.22,69.71
904,1/3/2018,Eastern,505.24,536.02,,,30.16,21.73
905,1/3/2018,NorthEastern,31.96,33.97,,,12.16,5.60
906,2/3/2018,Northern,635.26,554.50,30.32,31.27,134.13,104.70
907,2/3/2018,Western,1175.98,1092.98,25.19,25.96,38.10,10.57
908,2/3/2018,Southern,649.52,630.75,62.86,48.48,88.22,55.04
909,2/3/2018,Eastern,505.24,490.72,,,30.16,19.54
910,2/3/2018,NorthEastern,31.96,31.28,,,12.16,5.56
911,3/3/2018,Northern,637.13,542.80,30.32,31.27,134.13,112.61
912,3/3/2018,Western,1175.98,1111.50,25.19,25.96,38.10,22.09
913,3/3/2018,Southern,649.52,646.83,62.86,48.45,88.22,62.78
914,3/3/2018,Eastern,505.24,492.22,,,30.16,24.95
915,3/3/2018,NorthEastern,31.96,30.87,,,12.16,6.33
916,4/3/2018,Northern,637.13,562.84,30.32,31.41,134.13,112.52
917,4/3/2018,Western,1175.98,1162.40,25.19,25.96,38.10,12.14
918,4/3/2018,Southern,649.52,639.72,62.86,48.55,88.22,60.78
919,4/3/2018,Eastern,505.24,523.06,,,30.16,25.56
920,4/3/2018,NorthEastern,31.96,31.91,,,12.16,6.48
921,5/3/2018,Northern,636.48,610.22,30.32,30.78,134.13,112.23
922,5/3/2018,Western,1175.98,1173.44,25.19,26.18,38.10,23.32
923,5/3/2018,Southern,649.52,650.26,62.86,48.48,88.22,79.20
924,5/3/2018,Eastern,501.14,526.63,,,30.16,24.07
925,5/3/2018,NorthEastern,31.96,33.13,,,12.16,9.06
926,6/3/2018,Northern,635.83,647.31,30.32,25.96,134.13,107.62
927,6/3/2018,Western,1175.98,1189.26,25.19,26.10,38.10,25.88
928,6/3/2018,Southern,649.52,652.52,62.86,48.42,88.22,73.92
929,6/3/2018,Eastern,501.14,520.24,,,30.16,28.06
