index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error,Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Nuclear Generation Estimation Error,Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW),Hydro Generation Estimation Error
702,20/1/2018,Western,1125.62,1252.19,126.57,25.19,26.12,0.93,41.22,17.65,-23.57
703,20/1/2018,Southern,636.85,528.85,-108,45.38,60.69,15.31,70.04,77.78,7.74
704,20/1/2018,Eastern,484.15,487.57,3.42,,,0,21.76,23.02,1.26
705,20/1/2018,NorthEastern,31.88,32.79,0.91,,,0,11.28,7.48,-3.8
706,21/1/2018,Northern,619.13,629,9.87,30.31,32.16,1.85,96.18,98.32,2.14
707,21/1/2018,Western,1125.62,1229.76,104.14,25.19,26.15,0.96,41.22,15.03,-26.19
708,21/1/2018,Southern,636.85,507,-129.85,45.38,60.85,15.47,70.04,54.31,-15.73
709,21/1/2018,Eastern,484.15,483.46,-0.69,,,0,21.76,20.39,-1.37
710,21/1/2018,NorthEastern,31.88,32.93,1.05,,,0,11.28,7.14,-4.14
711,22/1/2018,Northern,619.13,645.75,26.62,30.31,32.15,1.84,96.18,99.14,2.96
712,22/1/2018,Western,1125.62,1241.51,115.89,25.19,26.18,0.99,41.22,20.64,-20.58
713,22/1/2018,Southern,638.65,521.46,-117.19,45.38,61.16,15.78,70.04,76.09,6.05
714,22/1/2018,Eastern,486.42,490.75,4.33,,,0,21.76,21.86,0.1
715,22/1/2018,NorthEastern,31.88,31.81,-0.07,,,0,11.28,7.58,-3.7
716,23/1/2018,Northern,616.44,612.9,-3.54,30.31,32.05,1.74,96.18,95.8,-0.38
717,23/1/2018,Western,1125.62,1231.1,105.48,25.19,26.18,0.99,41.22,25.13,-16.09
718,23/1/2018,Southern,638.65,541.55,-97.1,45.38,64.58,19.2,70.04,81.67,11.63
719,23/1/2018,Eastern,486.42,493.79,7.37,,,0,21.76,22.28,0.52
720,23/1/2018,NorthEastern,31.88,32.09,0.21,,,0,11.28,7.32,-3.96
721,24/1/2018,Northern,616.44,618,1.56,30.31,32.22,1.91,96.18,95.7,-0.48
722,24/1/2018,Western,1125.62,1216.75,91.13,25.19,26.21,1.02,41.22,21.11,-20.11
723,24/1/2018,Southern,636.46,570.3,-66.16,45.38,63.98,18.6,70.04,75.45,5.41
724,24/1/2018,Eastern,486.42,497.51,11.09,,,0,21.76,22.35,0.59
725,24/1/2018,NorthEastern,31.88,31.83,-0.05,,,0,11.28,7.58,-3.7
726,25/1/2018,Northern,613.98,644.94,30.96,30.31,32.11,1.8,96.18,97.76,1.58
727,25/1/2018,Western,1119.83,1214.98,95.15,25.19,26.19,1,41.22,22.58,-18.64
728,25/1/2018,Southern,636.46,596.86,-39.6,45.38,65.11,19.73,70.04,59.37,-10.67
729,25/1/2018,Eastern,486.42,491.14,4.72,,,0,21.76,24.93,3.17
730,25/1/2018,NorthEastern,31.88,31.95,0.07,,,0,11.28,7.57,-3.71
731,26/1/2018,Northern,619.27,608.45,-10.82,30.31,32.28,1.97,96.18,92.75,-3.43
732,26/1/2018,Western,1123.66,1158.43,34.77,25.19,26.19,1,41.22,11.53,-29.69
733,26/1/2018,Southern,636.46,567.09,-69.37,45.38,64.7,19.32,70.04,48.46,-21.58
734,26/1/2018,Eastern,486.42,471.99,-14.43,,,0,21.76,21.15,-0.61
735,26/1/2018,NorthEastern,31.88,30.49,-1.39,,,0,11.28,8.22,-3.06
736,27/1/2018,Northern,619.27,629.54,10.27,30.31,32.19,1.88,96.18,92.95,-3.23
737,27/1/2018,Western,1127.26,1169.33,42.07,25.19,26.19,1,41.22,19.06,-22.16
738,27/1/2018,Southern,636.46,591.65,-44.81,45.38,66.04,20.66,70.04,55.74,-14.3
739,27/1/2018,Eastern,483.54,481.14,-2.4,,,0,21.76,22.94,1.18
740,27/1/2018,NorthEastern,31.88,32.4,0.52,,,0,11.28,8.21,-3.07
741,28/1/2018,Northern,622.18,612.51,-9.67,30.31,32.22,1.91,96.18,92.95,-3.23
742,28/1/2018,Western,1127.26,1185.44,58.18,25.19,26.19,1,41.22,16.76,-24.46
743,28/1/2018,Southern,636.46,568.36,-68.1,45.38,71.56,26.18,70.04,43.99,-26.05
744,28/1/2018,Eastern,483.54,484.25,0.71,,,0,21.76,22.39,0.63
745,28/1/2018,NorthEastern,31.88,32.71,0.83,,,0,11.28,8.28,-3
746,29/1/2018,Northern,622.18,644.05,21.87,30.31,32.28,1.97,96.18,95.11,-1.07
747,29/1/2018,Western,1127.26,1198.62,71.36,25.19,26.14,0.95,41.22,18.84,-22.38
748,29/1/2018,Southern,640.29,586.52,-53.77,45.38,74.56,29.18,70.04,52.86,-17.18
749,29/1/2018,Eastern,483.54,483.73,0.19,,,0,21.76,23.58,1.82
750,29/1/2018,NorthEastern,31.88,28.29,-3.59,,,0,11.28,8.01,-3.27
751,30/1/2018,Northern,622.18,636.39,14.21,30.31,32.08,1.77,96.18,93.42,-2.76
752,30/1/2018,Western,1127.26,1210.6,83.34,25.19,26.14,0.95,41.22,18.17,-23.05
753,30/1/2018,Southern,640.29,574.39,-65.9,45.38,73.78,28.4,70.04,60.06,-9.98
754,30/1/2018,Eastern,483.54,476.47,-7.07,,,0,21.76,22.26,0.5
755,30/1/2018,NorthEastern,31.88,33.29,1.41,,,0,11.28,7.38,-3.9
